system:index,Code,FID_1,FeatureCla,city_name,count_0,count_1,count_3,count_4,count_5,country_iso3,hasPlace,mean_0,mean_1,mean_3,mean_4,mean_5,pop_2010,region,un_region,.geo
00008a0bfa614309b729,2595,3357,Urban area,Hamadan,115,115,56,273,81,IRN,20,1.3399206910152688,1.7110837265016772,0.6273159106353149,2.1744149940284054,1.477910013189047,513214,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000059190a7e5728e85f,183,10422,Urban area,Rasht,181,134,1,584,1,IRN,20,0.1529969608037098,0.1944776722790094,0.08477072854056367,0.49459756631997337,-0.9385958994114514,617063,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a191a3fc92a0e937,672,10395,Urban area,Zanjan,117,184,3,221,68,IRN,20,0.12460941685661903,0.19337842955787188,0.02203337288958777,0.24827402792731923,0.2642988498495479,376695,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005f1540ec871bc966,2604,3332,Urban area,Marivan,10,12,18,50,5,IRN,-1,-0.03315801492551742,0.025632725815221136,0.0055452715361598405,-0.052454742530191736,-0.12623680280431843,104003,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e64d15ba7802b803,673,3337,Urban area,Sanandaj,114,148,50,184,36,IRN,20,0.8934861586033366,1.1211510500211725,0.6304437262098826,1.2468767140795285,0.9242827314677616,357999,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000beccc06a72c1a3ec,674,3593,Urban area,Kermanshah,239,304,139,405,28,IRN,20,1.2918818583661322,1.6805795761740254,1.1549358366989935,1.883782820842215,1.4295545264391223,836122,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c67e032bca52c9eb,2605,568,Urban area,Sulaimaniyah,79,122,51,305,18,IRQ,20,-0.2702212368046079,0.022953618082954052,0.03893202165235917,0.05655348108924264,-0.25127445316533603,835953,Western Asia and North Africa (WANA),Western Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e2d6877075acf254,2607,2351,Urban area,Saqqez,23,21,8,91,8,IRN,15,0.9274777962361853,0.869606741688815,-0.01778051623348631,1.1513909477795676,0.42031241164477273,138020,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000bde70d1e0d8abd31,6871,565,Urban area,Bukan,18,23,19,81,0,IRN,15,0.7881407562476537,1.2237365985346602,0.5148385816894431,1.2612335296013082,,165114,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
000002e9f240defd0011,2612,3303,Urban area,Miandoab,39,20,41,96,0,IRN,15,1.4387431876783034,1.7981365787114698,0.9690204074629031,2.089719399943783,,120662,South and Central Asia (SCA),South Central Asia,"{""type"":""MultiPoint"",""coordinates"":[]}"
